compound,hydrogen_production_rate,hydrogen_production_rate_uom,bandgap_energy,bandgap_energy_uom,incident_light_cut_off,incident_light_cut_off_uom,particle_size,particle_size_uom,radiation_source_intensity,radiation_source_intensity_uom,specific_surface_area,specific_surface_area_uom,catalyst_amount,catalyst_amount_uom,co_catalyst,co_catalyst_type,reaction_type,reaction_solution,reaction_solution_concentration,carbon_source,sacrificial_agent,sacrificial_agent_source,preparation_method,calcination_temperature,calcination_temperature_uom,calcination_time,calcination_time_uom,doi_reference
Ta3N5CaTaO2N,104.0,𝜇mol.g-1.h-1,2.07,eV,420,nm,400.0,nm,300.0,W,,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,Thermal nitridation (ammonolysis),900.0,°C,3.0,h,https://doi.org/10.1016/j.cej.2021.134041
Ta3N5BiCaTaO2N,292.0,𝜇mol.g-1.h-1,2.07,eV,420,nm,400.0,nm,300.0,W,13.43,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4: 1 v/v),CH3OH,True,CH3OH,Thermal nitridation (ammonolysis),1000.0,°C,3.0,h,https://doi.org/10.1016/j.cej.2021.134041
SrTiO3,838.4,𝜇mol.g-1.h-1,3.29,eV,400,nm,128.5,nm,300.0,W,23.93,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Electrospinning,750.0,°C,3.0,h,https://doi.org/10.1016/j.nanoen.2024.109745
BaTiO3,179.6,𝜇mol.g-1.h-1,3.27,eV,400,nm,118.8,nm,300.0,W,,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,800.0,°C,10.0,h,https://doi.org/10.1016/j.nanoen.2024.109745
SrTiO3BaTiO3,1950.2,𝜇mol.g-1.h-1,3.27,eV,400,nm,129.8,nm,300.0,W,12.0,m2.g-1,0.01,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Electrospinning,750.0,°C,3.0,h,https://doi.org/10.1016/j.nanoen.2024.109745
LaNi0.7Cu0.3O3,30000.0,𝜇mol.g-1.h-1,3.7,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
LaNi0.7Cu0.3O3,340000.0,𝜇mol.g-1.h-1,2.7,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
LaNi0.7Cu0.3O3,583000.0,𝜇mol.g-1.h-1,2.8,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
LaNi0.7Cu0.3O3,160000.0,𝜇mol.g-1.h-1,2.8,eV,400,nm,,nm,125.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2010.03.090
La2NiO4,5.81,𝜇mol.g-1.h-1,2.2,eV,420,nm,100.0,nm,300.0,W,6.63,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Citric-acid assisted co-precipitation,1000.0,°C,6.0,h,https://doi.org/10.1021/acsaem.1c01716
La2NiO3C3N4,312.8,𝜇mol.g-1.h-1,2.2,eV,420,nm,100.0,nm,300.0,W,72.24,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Citric-acid assisted co-precipitation,400.0,°C,2.0,h,https://doi.org/10.1021/acsaem.1c01716
La2NiO3C3N4,175.0,𝜇mol.g-1.h-1,2.2,eV,420,nm,100.0,nm,300.0,W,97.04,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Citric-acid assisted co-precipitation,400.0,°C,2.0,h,https://doi.org/10.1021/acsaem.1c01716
SrTiO3,0.0,𝜇mol.g-1.h-1,3.3,eV,400,nm,5000.0,nm,300.0,W,0.2,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
(SrTiO3)0.95(CaCr0.5Nb0.5O3)0.05,0.0,𝜇mol.g-1.h-1,2.2,eV,400,nm,1000.0,nm,300.0,W,0.6,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
(SrTiO3)0.9(CaCr0.5Nb0.5O3)0.1,115.0,𝜇mol.g-1.h-1,2.3,eV,400,nm,500.0,nm,300.0,W,2.5,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
(SrTiO3)0.85(CaCr0.5Nb0.5O3)0.15,245.0,𝜇mol.g-1.h-1,2.3,eV,400,nm,500.0,nm,300.0,W,2.3,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,solid-state reaction,1200.0,°C,24.0,h,https://doi.org/10.1016/j.jmst.2021.01.039
LaCoO3,45.0,𝜇mol.g-1.h-1,1.7,eV,420,nm,300.0,nm,35.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(19 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,850.0,°C,3.0,h,https://doi.org/10.1016/j.enconman.2022.115787
LaCoO3C3N4,80.0,𝜇mol.g-1.h-1,1.7,eV,420,nm,300.0,nm,35.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / methanol,(19 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,850.0,°C,3.0,h,https://doi.org/10.1016/j.enconman.2022.115787
AgLaCoO3C3N4,3160.0,𝜇mol.g-1.h-1,1.7,eV,420,nm,300.0,nm,35.0,W,,m2.g-1,0.1,g,Ag,Ag nanoparticles,photoreform,Water / methanol,(19 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,850.0,°C,3.0,h,https://doi.org/10.1016/j.enconman.2022.115787
LaFeO3,0.0,𝜇mol.g-1.h-1,2.6,eV,400,nm,125.0,nm,,W,4.7,m2.g-1,0.15,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
LaFe0.8LaCu0.2,18.0,𝜇mol.g-1.h-1,2.4,eV,400,nm,125.0,nm,,W,5.3,m2.g-1,0.15,g,Cu,Cu(NO3)2,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
LaFe0.8LaCu0.2,139.0,𝜇mol.g-1.h-1,2.2,eV,400,nm,125.0,nm,,W,4.2,m2.g-1,0.15,g,Cu,Cu(NO3)2,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
LaFe0.8LaCu0.2,343.0,𝜇mol.g-1.h-1,2.2,eV,400,nm,125.0,nm,,W,7.3,m2.g-1,0.15,g,Cu,Cu(NO3)2,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
LaFe0.8LaCu0.2,128.0,𝜇mol.g-1.h-1,2.2,eV,400,nm,125.0,nm,,W,5.7,m2.g-1,0.15,g,Cu,Cu(NO3)2,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
LaFe0.8LaCu0.2,109.0,𝜇mol.g-1.h-1,2.3,eV,400,nm,125.0,nm,,W,5.5,m2.g-1,0.15,g,Cu,Cu(NO3)2,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
LaFe0.8LaCu0.2,55.0,𝜇mol.g-1.h-1,2.5,eV,400,nm,125.0,nm,,W,5.0,m2.g-1,0.15,g,Cu,Cu(NO3)2,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel + H2 reduction,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
La2CuO4,60.0,𝜇mol.g-1.h-1,1.8,eV,400,nm,125.0,nm,,W,5.7,m2.g-1,0.15,g,false,-,photoreform,Water / formaldehyde,(7 : 1 v/v),HCHO,True,HCHO,Citrate sol-gel,800.0,°C,5.0,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
BaTiO3,3.3,𝜇mol.g-1.h-1,2.97,eV,400,nm,158.0,nm,300.0,W,1.58,m2.g-1,0.06,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(3 : 1 v/v),C6H15NO3,True,C6H15NO3,Sol-gel,1100.0,°C,2.0,h,https://doi.org/10.1002/slct.202304550
BaTi0.995Ta0.005O3,4.2,𝜇mol.g-1.h-1,2.96,eV,400,nm,142.0,nm,300.0,W,,m2.g-1,0.06,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(3 : 1 v/v),C6H15NO3,True,C6H15NO3,Sol-gel,1100.0,°C,2.0,h,https://doi.org/10.1002/slct.202304550
BaTi0.9875Ta0.0125O3,7.95,𝜇mol.g-1.h-1,2.96,eV,400,nm,130.0,nm,300.0,W,2.13,m2.g-1,0.06,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(3 : 1 v/v),C6H15NO3,True,C6H15NO3,Sol-gel,1100.0,°C,2.0,h,https://doi.org/10.1002/slct.202304550
BaTi0.98Ta0.02O3,6.3,𝜇mol.g-1.h-1,2.97,eV,400,nm,105.0,nm,300.0,W,,m2.g-1,0.06,g,Pt,H2PtCl6·6H2O,photoreform,Water / TEOA,(3 : 1 v/v),C6H15NO3,True,C6H15NO3,Sol-gel,1100.0,°C,2.0,h,https://doi.org/10.1002/slct.202304550
LaCrO3,32.8,𝜇mol.g-1.h-1,2.6,eV,400,nm,234.0,nm,150.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Combustion,800.0,°C,4.0,h,https://doi.org/10.1021/acs.inorgchem.8b02364
PbTiO3,71.4,𝜇mol.g-1.h-1,2.8,eV,400,nm,176.0,nm,150.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Combustion,800.0,°C,4.0,h,https://doi.org/10.1021/acs.inorgchem.8b02364
PbTiO3LaCrO3,289.0,𝜇mol.g-1.h-1,2.6,eV,400,nm,,nm,150.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Combustion,800.0,°C,4.0,h,https://doi.org/10.1021/acs.inorgchem.8b02364
PbTiO3LaCrO3,343.57,𝜇mol.g-1.h-1,2.6,eV,400,nm,176.0,nm,150.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Combustion,800.0,°C,4.0,h,https://doi.org/10.1021/acs.inorgchem.8b02364
PbTiO3LaCrO3,318.0,𝜇mol.g-1.h-1,2.6,eV,400,nm,,nm,150.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Combustion,800.0,°C,4.0,h,https://doi.org/10.1021/acs.inorgchem.8b02364
PbTiO3LaCrO3,245.0,𝜇mol.g-1.h-1,2.6,eV,400,nm,,nm,150.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Combustion,800.0,°C,4.0,h,https://doi.org/10.1021/acs.inorgchem.8b02364
PbTiO3LaCrO3,205.0,𝜇mol.g-1.h-1,2.6,eV,400,nm,,nm,150.0,W,,m2.g-1,0.02,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,Combustion,800.0,°C,4.0,h,https://doi.org/10.1021/acs.inorgchem.8b02364
CaSnO3,274.0,𝜇mol.g-1.h-1,4.3,eV,365,nm,2200.0,nm,125.0,W,13.5,m2.g-1,0.1,g,false,-,photoreform,Water / ethanol,(31 : 1 v/v),C2H5OH,True,C2H5OH,hydrothermal synthesis,700.0,°C,6.0,h,https://doi.org/10.1039/C6RA05614H
SrSnO3,42.0,𝜇mol.g-1.h-1,4.1,eV,365,nm,4000.0,nm,125.0,W,16.9,m2.g-1,0.1,g,false,-,photoreform,Water / ethanol,(31 : 1 v/v),C2H5OH,True,C2H5OH,hydrothermal synthesis,700.0,°C,6.0,h,https://doi.org/10.1039/C6RA05614H
BaSnO3,24.0,𝜇mol.g-1.h-1,3.12,eV,365,nm,300.0,nm,125.0,W,5.9,m2.g-1,0.1,g,false,-,photoreform,Water / ethanol,(31 : 1 v/v),C2H5OH,True,C2H5OH,hydrothermal synthesis,700.0,°C,6.0,h,https://doi.org/10.1039/C6RA05614H
SrTiO3,120.1,𝜇mol.g-1.h-1,3.29,eV,400,nm,150.0,nm,300.0,W,25.82,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(95 : 5 v/v),CH3OH,True,CH3OH,Electrospinning,550.0,°C,2.0,h,https://doi.org/10.1021/acsanm.4c01427
SrTiO3C3N4,189.8,𝜇mol.g-1.h-1,3.29,eV,400,nm,150.0,nm,300.0,W,27.03,m2.g-1,0.01,g,false,-,photoreform,Water / methanol,(95 : 5 v/v),CH3OH,True,CH3OH,Electrospinning,550.0,°C,2.0,h,https://doi.org/10.1021/acsanm.4c01427
SrTiO3ZnS,1790.0,𝜇mol.g-1.h-1,3.34,eV,400,nm,25.0,nm,300.0,W,149.68,m2.g-1,0.01,g,Zn,ZnS nanoparticles,photoreform,Water / methanol,(95 : 5 v/v),CH3OH,True,CH3OH,Electrospinning,550.0,°C,2.0,h,https://doi.org/10.1021/acsanm.4c01427
SrTiO3,2950.0,𝜇mol.g-1.h-1,3.12,eV,780,nm,32.0,nm,300.0,W,16.88,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11 : 3 v/v),CH3OH,True,CH3OH,Solvothermal synthesis,180.0,°C,24.0,h,https://doi.org/10.1016/j.jallcom.2019.152796
SrTiO3,3980.0,𝜇mol.g-1.h-1,3.11,eV,780,nm,97.0,nm,300.0,W,20.07,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11 : 3 v/v),CH3OH,True,CH3OH,Solvothermal synthesis,180.0,°C,24.0,h,https://doi.org/10.1016/j.jallcom.2019.152796
SrTiO3,7680.0,𝜇mol.g-1.h-1,3.08,eV,780,nm,390.0,nm,300.0,W,70.28,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11 : 3 v/v),CH3OH,True,CH3OH,Solvothermal synthesis,180.0,°C,24.0,h,https://doi.org/10.1016/j.jallcom.2019.152796
SrTiO3,8210.0,𝜇mol.g-1.h-1,3.08,eV,780,nm,530.0,nm,300.0,W,106.59,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11 : 3 v/v),CH3OH,True,CH3OH,Solvothermal synthesis,180.0,°C,24.0,h,https://doi.org/10.1016/j.jallcom.2019.152796
SrTiO3,6360.0,𝜇mol.g-1.h-1,3.06,eV,780,nm,1500.0,nm,300.0,W,115.86,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11 : 3 v/v),CH3OH,True,CH3OH,Solvothermal synthesis,180.0,°C,24.0,h,https://doi.org/10.1016/j.jallcom.2019.152796
SrTiO3,7290.0,𝜇mol.g-1.h-1,3.04,eV,780,nm,2000.0,nm,300.0,W,131.87,m2.g-1,0.05,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11 : 3 v/v),CH3OH,True,CH3OH,Solvothermal synthesis,180.0,°C,24.0,h,https://doi.org/10.1016/j.jallcom.2019.152796
LaTaON2,36600.0,𝜇mol.g-1.h-1,1.95,eV,420,nm,320.0,nm,300.0,W,12.3,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,NH3-assisted flux method,950.0,°C,10.0,h,https://doi.org/10.1039/C7CP03714G
PrTaON2,52400.0,𝜇mol.g-1.h-1,1.97,eV,420,nm,125.0,nm,300.0,W,9.4,m2.g-1,0.1,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(9 : 1 v/v),CH3OH,True,CH3OH,NH3-assisted flux method,1000.0,°C,10.0,h,https://doi.org/10.1039/C7CP03714G
Na2Ca2Nb4O13,1355.0,𝜇mol.g-1.h-1,3.3,eV,300,nm,30000.0,nm,1000.0,W,4.6,m2.g-1,0.15,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Molten salt method,1100.0,°C,10.0,h,https://doi.org/10.1111/jace.12122
Na2Ca2Nb4O13,835.0,𝜇mol.g-1.h-1,3.3,eV,300,nm,30000.0,nm,1000.0,W,3.9,m2.g-1,0.15,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Molten salt method,1100.0,°C,10.0,h,https://doi.org/10.1111/jace.12122
Na2Ca2Nb4O13,230.0,𝜇mol.g-1.h-1,3.3,eV,300,nm,30000.0,nm,1000.0,W,1.6,m2.g-1,0.15,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Molten salt method,1100.0,°C,10.0,h,https://doi.org/10.1111/jace.12122
Na2Ca2Nb4O13,447.0,𝜇mol.g-1.h-1,3.3,eV,300,nm,30000.0,nm,1000.0,W,0.36,m2.g-1,0.15,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 : 1 v/v),CH3OH,True,CH3OH,Molten salt method,1100.0,°C,10.0,h,https://doi.org/10.1111/jace.12122
Na0.5La0.5TiO3,0.0,𝜇mol.g-1.h-1,3.19,eV,420,nm,400.0,nm,300.0,W,,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4.4 : 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,180.0,°C,48.0,h,https://doi.org/10.1002/chem.201003755
(Na0.5La0.5TiO3)1.00(LaCrO3)0.08(NaLaTi-0.08Cr),8200.0,𝜇mol.g-1.h-1,2.25,eV,420,nm,400.0,nm,300.0,W,,m2.g-1,0.3,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(4 .4: 1 v/v),CH3OH,True,CH3OH,hydrothermal synthesis,180.0,°C,48.0,h,https://doi.org/10.1002/chem.201003755
HCa2Nb3O10,550.0,𝜇mol.g-1.h-1,3.5,eV,220,nm,700.0,nm,125.0,W,,m2.g-1,0.027,g,false,-,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Proton exchange,,°C,,h,https://doi.org/10.3390/catal13030614
HSr2Nb3O10,650.0,𝜇mol.g-1.h-1,3.26,eV,220,nm,350.0,nm,125.0,W,,m2.g-1,0.027,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Proton exchange,,°C,,h,https://doi.org/10.3390/catal13030614
HCa2Nb3O10,800.0,𝜇mol.g-1.h-1,3.5,eV,220,nm,700.0,nm,125.0,W,,m2.g-1,0.027,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Exfoliation + filtration,,°C,,h,https://doi.org/10.3390/catal13030614
HCa2Nb3O10,650.0,𝜇mol.g-1.h-1,3.5,eV,220,nm,700.0,nm,125.0,W,,m2.g-1,0.027,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Exfoliation + acid restacking,,°C,,h,https://doi.org/10.3390/catal13030614
HSr2Nb3O10,400.0,𝜇mol.g-1.h-1,3.26,eV,220,nm,350.0,nm,125.0,W,,m2.g-1,0.027,g,false,-,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Proton exchange,,°C,,h,https://doi.org/10.3390/catal13030614
HSr2Nb3O10,500.0,𝜇mol.g-1.h-1,3.26,eV,220,nm,350.0,nm,125.0,W,,m2.g-1,0.027,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Proton exchange,,°C,,h,https://doi.org/10.3390/catal13030614
HSr2Nb3O10,750.0,𝜇mol.g-1.h-1,3.26,eV,220,nm,350.0,nm,125.0,W,,m2.g-1,0.027,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Exfoliation + filtration,,°C,,h,https://doi.org/10.3390/catal13030614
HSr2Nb3O10,400.0,𝜇mol.g-1.h-1,3.26,eV,220,nm,350.0,nm,125.0,W,,m2.g-1,0.027,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(99 : 1 v/v),CH3OH,True,CH3OH,Exfoliation + acid restacking,,°C,,h,https://doi.org/10.3390/catal13030614
BaNbO2NBa2NbO3N,21.0,𝜇mol.g-1.h-1,1.7,eV,400,nm,135.0,nm,500.0,W,8.2,m2.g-1,0.132,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11:1 v/v),CH3OH,True,CH3OH,Electrospinning,900.0,°C,10.0,h,https://doi.org/10.1002/admi.202100813
BaNbO2NBa2NbO3N,15.0,𝜇mol.g-1.h-1,1.7,eV,400,nm,156.0,nm,500.0,W,7.1,m2.g-1,0.132,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11:1 v/v),CH3OH,True,CH3OH,Electrospinning,900.0,°C,10.0,h,https://doi.org/10.1002/admi.202100813
BaNbO2NBa2NbO3N,17.0,𝜇mol.g-1.h-1,1.7,eV,400,nm,194.0,nm,500.0,W,7.0,m2.g-1,0.132,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11:1 v/v),CH3OH,True,CH3OH,Electrospinning,900.0,°C,10.0,h,https://doi.org/10.1002/admi.202100813
BaNbO2NBa2NbO3N,21.2,𝜇mol.g-1.h-1,1.7,eV,400,nm,213.0,nm,500.0,W,6.9,m2.g-1,0.132,g,Pt,H2PtCl6·6H2O,photoreform,Water / methanol,(11:1 v/v),CH3OH,True,CH3OH,Electrospinning,900.0,°C,10.0,h,https://doi.org/10.1002/admi.202100813
H1.78Sr0.78Bi0.22Nb2O7,4831.6,𝜇mol.g-1.h-1,3.42,eV,400,nm,,nm,300.0,W,9.05,m2.g-1,0.05,g,false,-,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Exfoliation,1000.0,°C,3.0,h,https://doi.org/10.1016/S1872-2067(17)62953-X
NiCH3CH2NH2H1.78Sr0.78Bi0.22Nb2O7,7453.4,𝜇mol.g-1.h-1,3.26,eV,400,nm,,nm,300.0,W,7.84,m2.g-1,0.05,g,Ni,Ni(CH3COO)24H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Exfoliation,1000.0,°C,3.0,h,https://doi.org/10.1016/S1872-2067(17)62953-X
NiCH3CH2NH2H1.78Sr0.78Bi0.22Nb2O7,6000.0,𝜇mol.g-1.h-1,3.09,eV,400,nm,,nm,300.0,W,8.03,m2.g-1,0.05,g,Ni,Ni(CH3COO)24H2O,photoreform,Water / methanol,(7 : 3 v/v),CH3OH,True,CH3OH,Exfoliation,1000.0,°C,3.0,h,https://doi.org/10.1016/S1872-2067(17)62953-X
CdS(C6H5CH2CH2NH3)2SnBr4,13.38,𝜇mol.g-1.h-1,2.37,eV,420,nm,20.0,nm,300.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / Lactic acid,(9 : 1 v/v),C3H6O3,True,C3H6O3,hydrothermal synthesis,120.0,°C,6.0,h,https://doi.org/10.1007/s10562-024-04666-2
(C6H5CH2CH2NH3)2SnBr4,4.0,𝜇mol.g-1.h-1,2.64,eV,420,nm,20.0,nm,300.0,W,,m2.g-1,0.1,g,false,-,photoreform,Water / Lactic acid,(9 : 1 v/v),C3H6O3,True,C3H6O3,hydrothermal synthesis,120.0,°C,0.5,h,https://doi.org/10.1016/j.ijhydene.2015.07.166
